composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
Hf3Ge2,5.7,7.2286205,6.603134,9.723256,0.79594946,1.2237986,0.98
Sc0.8Zr0.2B12,38.43785832,38.90258,34.902416,39.324913,1.1281879,1.7346262,0.98
YRe0.25Cr0.75B4,32.99336355,34.485497,29.198471,34.447193,1.3389597,2.0586948,0.98
Zr0.75Gd0.25B12,29.5,29.644089,28.283321,30.642433,0.6018142,0.92530924,4.9
GdCo2,5.88,5.196375,4.4114895,6.193675,0.45463917,0.69902277,0.98
Y0.25Hf0.75B20,30.8,30.04813,28.145855,31.265665,0.7958699,1.2236762,4.9
Cd45Gd11,3.97,2.2460155,1.4857248,2.1621032,0.1725455,0.2652944,0.98
W0.9Er0.1B11.6,34.3557126,36.50976,33.436943,36.50122,0.7817035,1.2018949,0.98
W0.5Ho0.5B11.6,28.99333333,29.907352,28.703327,30.688353,0.506384,0.77858216,1.96
V3Ga,9.02,6.364968,5.126269,7.568938,0.6231298,0.9580826,0.98
Y0.25Sc1.75ReB6,23.08107391,22.437801,23.264679,25.063774,0.45895284,0.70565516,4.9
Zr0.25Hf0.25Y0.5B20,30.4,31.915257,31.093187,33.427723,0.59554476,0.91566974,1.96
W0.5Dy0.5B11.6,37.67804878,38.020004,35.92687,41.471962,1.4145646,2.1749399,0.49
Mn0.5W0.5B4,26.71524664,26.362696,27.223501,29.788612,0.65436506,1.0061079,4.9
Sc0.05Zr0.95B12,33.54446204,32.860023,31.269625,33.938793,0.6809103,1.0469221,1.96
YMn2Si2,5.6,6.910518,5.9455943,8.255102,0.58916014,0.9058532,0.49
Ce0.5U0.5O2,6.1,11.306674,7.085955,15.922921,2.254328,3.4661038,0.02
W0.9Y0.1B11.6,37.01331939,36.46324,34.281635,36.898075,0.66745913,1.0262405,0.98
Cr0.5W0.5B4,34.53413684,33.828354,30.607147,34.711193,1.0469505,1.609721,1.96
Fe0.85Pt0.15,0.84,1.726274,1.4314095,3.0479608,0.41238552,0.6340564,9.8
Zr0.5Hf0.25Gd0.25B20,43.7,43.65701,38.74549,43.362938,1.1779201,1.8110911,0.49
Gd0.8Nd0.2B6,22.65,20.546154,18.765593,24.902487,1.5655342,2.4070606,5.0
Y2Re0.75Cr0.25B6,25.21212121,25.072351,23.694006,27.101027,0.8691379,1.3363283,1.96
Mn2B,17.45,12.372455,10.477481,14.253586,0.96329206,1.4810934,0.49
Pt0.96Ge0.04,1.21,1.4575065,0.1998476,1.2431518,0.266149,0.40921292,9.8
ZnTe,0.98,1.281767,0.029798366,3.9533124,1.0008965,1.5389113,0.25
W0.8Y0.2B11.6,27.64738769,27.231657,27.882517,29.11312,0.31392914,0.48267642,4.9
Ti0.5Nb0.5N,15.5,18.640865,15.754076,23.917702,2.0825574,3.2020009,0.98
ReB2,30.3,29.970064,25.099834,29.819914,1.2041019,1.8513465,2.93
Ta0.25W0.75B,38.0,36.61023,30.881636,35.473732,1.1714531,1.8011479,0.49
