,composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
70,Cr0.2Pt0.8,1.11,1.1431634,0.7313314,2.2375643,0.3842431,13.760206,9.8
71,Cr0.2Re0.5Fe0.3,14.6,11.08066,8.662143,21.581491,3.295752,139.55597,0.49
72,Cr0.3W0.7B4,42.12417551,45.083366,40.540375,47.817924,1.8565178,79.46199,0.49
73,Cr0.3W0.7B4,39.73289136,38.084732,35.51752,40.564144,1.2874038,55.102985,0.98
74,Cr0.3W0.7B4,34.2049445,34.56325,32.0001,35.405743,0.8687866,37.185482,1.96
75,Cr0.3W0.7B4,31.44100848,32.42302,30.596083,33.24905,0.6767774,28.967178,2.94
76,Cr0.3W0.7B4,27.34159474,30.220882,28.95912,31.611908,0.67673165,28.96522,4.9
77,Cr0.43Re0.43Co0.14,6.4,13.849212,9.633994,11.895235,0.5768472,21.954733,0.5
78,Cr0.4Fe0.4Co0.4Ni0.4Al0.4,7.26,3.82458,4.03252,8.310745,1.091384,46.71302,1.96
79,Cr0.5W0.5B4,44.50309343,40.057766,39.09248,45.956432,1.7510083,74.145035,0.49
80,Cr0.5W0.5B4,38.81984845,34.253548,34.124374,39.478233,1.3657804,57.83287,0.98
81,Cr0.5W0.5B4,34.53413684,30.51149,30.781487,34.366634,0.9145785,38.727093,1.96
82,Cr0.5W0.5B4,32.88819384,28.74464,29.445997,32.09254,0.67513865,28.588203,2.94
83,Cr0.5W0.5B4,27.20494886,26.465603,27.57688,30.396357,0.7192543,30.456245,4.9
84,Cr0.67Mo2Ni0.33B2,21.96,12.38882,12.222004,15.728715,0.8945691,32.03559,1.0
85,Cr11Ge19,8.38,4.6646647,5.9174004,8.342512,0.618651,26.196278,0.98
86,Cr11Ge8,8.14,6.957898,5.899651,7.6122813,0.43689546,16.628187,0.98
87,Cr2.4W0.6B4,16.8,23.858715,23.549147,26.516935,0.75708896,32.404644,0.98
88,Cr2.55Mo0.45B4,21.5,21.017931,19.816515,22.23651,0.6173455,22.107883,0.98
89,Cr2.58Ta0.42B4,22.2,22.39762,22.39379,26.090273,0.94298047,39.92975,0.98
90,Cr2.67V0.33B4,21.8,21.29896,16.49264,22.431793,1.5150902,57.664146,0.98
91,Cr2.79Nb0.21B4,21.6,20.651144,17.945358,24.019611,1.5495543,66.323456,0.98
92,Cr2.91Ti0.09B4,22.1,20.380466,17.343199,20.620928,0.83615535,28.041079,0.98
93,Cr28.58Al112.28,5.96,4.6518083,3.5447211,11.185823,1.9492607,83.43154,0.49
94,Cr2Al,5.79,6.8396244,5.562599,8.707913,0.80237603,33.975967,0.49
95,Cr2B,13.24,14.721597,10.751605,16.091934,1.3623289,51.850067,0.49
96,Cr2B3,20.69,17.396646,15.842963,23.838678,2.0397232,87.30348,0.98
97,Cr3B4,23.89,20.496616,14.58441,20.817642,1.5901103,53.32551,0.49
98,Cr3B4,14.71,19.9912,14.21012,20.498356,1.6041417,53.796062,0.98
99,Cr3C2,10.75,12.208144,11.4257345,23.372643,3.0476806,102.20619,0.49
100,Cr4Al9,6.25,5.5796747,3.6663961,8.074304,1.1244662,37.709793,0.49
101,Cr4B,12.16,11.68116,8.792048,10.222298,0.3648595,13.066056,0.49
102,Cr5Al8,7.85,5.5072803,3.9391775,5.569665,0.41594067,15.83065,0.49
103,Cr5B3,14.91,14.401345,10.275856,15.732319,1.3919548,59.577934,0.49
104,Cr5Ge3,7.02,8.761779,6.551935,9.309787,0.70353353,23.59351,0.98
105,Cr7Al45,3.03,7.4465437,5.681898,10.667208,1.2717626,45.543343,0.49
106,CrB,27.5,19.54303,13.65598,22.459324,2.245751,75.31289,0.98
107,CrB,23.0,17.696411,13.40159,21.93683,2.1773572,73.01926,1.96
108,CrB,21.5,17.053423,13.147579,21.065321,2.0198321,67.73654,2.94
109,CrB2,20.59,28.824633,23.796188,28.065523,1.089116,46.11774,0.49
110,CrB4,26.1,34.776848,30.927095,35.28463,1.1116159,42.307964,0.98
111,CrB50,40.31,38.98621,35.715443,44.19939,2.1642723,92.634384,0.49
112,CrGe,6.24,6.9405513,6.221071,9.434757,0.81981796,27.493193,0.98
113,Cu0.5Pt0.5,1.25,-0.14954528,-0.6836737,0.84843683,0.3908445,13.99661,9.8
114,Cu10Zr7,5.49,4.3854957,3.9323425,5.9057326,0.5034158,21.316738,0.49
115,Cu2.5LaNi2.5,6.12,4.8008,3.7546794,5.4693456,0.43741482,18.521978,0.98
116,Cu4Y0.1Yb0.9In,6.32,5.3755903,4.038187,5.565925,0.3897291,14.833041,0.98
117,Cu4YbIn,5.58,5.189745,3.7582674,5.819193,0.5257463,22.262304,0.98
118,Cu4YIn,6.9,5.448839,4.121456,6.3334184,0.56427604,20.207401,0.98
119,Cu51Zr14,5.05,4.7794223,4.0075054,6.252546,0.5727144,19.206394,0.49
120,Cu5Gd,4.41,6.1886334,3.9961276,5.477024,0.3777797,13.528744,0.98
121,Cu5Nd,3.92,4.2380567,3.3421752,3.3888695,0.011911806,0.50439584,0.98
122,Cu5Zr,4.61,4.288859,3.4799728,6.18365,0.68971354,26.250412,0.49
123,Cu6Gd,4.81,5.2828593,3.7760065,6.7033343,0.7467673,31.962858,0.98
124,CuEu2,1.27,3.6676347,3.1817975,5.6781254,0.63681835,21.356167,0.98
125,CuZr,4.24,5.9278054,4.0596657,6.115762,0.52451444,18.783491,0.49
126,CuZr2,4.41,3.5126796,4.3191004,6.2972,0.5046173,21.367613,0.49
127,DyB12,30.4,32.548355,31.09143,35.71975,1.1806935,44.937046,0.49
128,DyC2,5.71,6.7468843,5.5886607,9.6434145,1.0343759,44.272976,1.72
129,DyMn2Si2,5.5,5.933014,5.730553,7.8915987,0.5512871,23.595987,0.49
130,ErB12,34.32,32.998302,31.125517,36.10827,1.2711102,42.627605,0.49
131,ErC2,4.47,5.0714536,4.777805,8.864302,1.0424737,44.14271,1.72
132,ErPd2Ge,7.45,5.96592,4.9205503,5.738645,0.20869763,7.943006,0.98
133,ErRh3B,4.9,10.191558,8.175852,10.799172,0.6692144,28.643469,0.98
134,ErRh4B4,11.1,14.245644,8.095937,13.100006,1.2765483,42.809975,0.98
135,EuB6,26.09,22.126757,20.266273,24.633171,1.1140045,39.893837,0.98
136,Fe0.5Pt0.5,1.11,0.960621,0.6764039,4.1885133,0.8959462,37.93812,9.8
137,Fe0.85Pt0.15,0.84,1.6969881,0.98167676,3.3812778,0.6121431,23.29809,9.8
138,Fe0.9Ru0.1,0.8,2.5003343,2.2938976,6.321069,1.0273396,43.97181,9.8
139,GaN,11.0,11.484445,11.402293,15.840615,1.132225,37.96999,0.49
140,GaP,9.45,4.7917714,6.7526536,8.089148,0.34094232,12.209554,0.49
141,Gd0.2Nd0.8B6,22.74,21.01074,18.374134,22.624521,1.0842824,38.829453,5.0
142,Gd0.4Nd0.6B6,22.41,20.756615,18.672413,23.816973,1.3123877,44.01188,5.0
143,Gd0.8Nd0.2B6,22.65,20.440699,18.334166,24.115618,1.4748602,63.126423,5.0
