,composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
296,NdFeRu,5.3,4.290555,2.8814607,4.991354,0.5382381,19.274952,49.03
297,NdMn2Si2,6.3,6.640973,5.301809,5.4243283,0.031254973,1.3234668,0.49
298,NdPd2Ge,4.61,5.625093,4.4252663,5.5098233,0.27667272,10.530129,0.98
299,NdRh3B,4.9,9.264216,6.7860293,7.3998227,0.15657994,6.701877,0.98
300,NdRuCo,5.49,4.042522,2.8576434,4.9584885,0.53592986,17.972797,49.03
301,NdRuNi,4.9,4.2384806,2.8332446,4.245603,0.36029553,15.421237,49.03
302,Ni0.05Ga0.95Sb,5.07,4.6643324,2.7223413,3.0734673,0.089572944,3.409135,1.96
303,Ni2B,14.02,10.232728,8.802703,13.519396,1.203238,50.950146,0.5
304,Ni3B,11.67,10.204313,6.8018084,11.09385,1.0949086,39.20999,0.49
305,NiB50,39.13,38.547672,34.881756,42.038963,1.8258182,78.147995,0.49
306,Os0.3Ru0.7B2,23.5,27.001799,22.914492,28.44443,1.4106984,50.518803,0.49
307,Os0.3Ru0.7B2,15.0,18.144047,16.343185,21.526731,1.3223331,47.354336,1.96
308,Os0.5Ru0.5B2,22.0,30.202513,24.5127,30.3444,1.4876789,62.994568,0.49
309,Os0.5Ru0.5B2,15.5,18.399967,17.58418,23.225595,1.4391364,60.939075,1.96
310,Os0.8Ru0.2B2,23.0,28.600866,26.402912,32.744076,1.6176437,69.23779,0.49
311,Os0.8Ru0.2B2,16.5,16.960966,18.869576,24.6441,1.473093,63.050785,1.96
312,Os2Si3,19.61,12.437088,11.25313,19.383585,2.0740957,69.55631,0.98
313,OsSi,14.22,17.90385,14.464967,18.92872,1.1387126,40.778664,0.98
314,Pd20Te7,5.05,2.509801,1.8300868,5.625256,0.96815544,40.995766,0.98
315,Pd3.5Te,2.54,3.6817358,1.8576275,7.846651,1.5278121,58.14834,0.98
316,Pd3Te2,2.7,2.6834412,1.7035087,4.6703234,0.7568404,32.394005,0.98
317,Pd9Te4,1.73,3.565869,2.5912287,6.3295407,0.953651,31.98138,0.98
318,Pr0.03Nd0.65Fe3NiSb12,1.86,3.4587681,3.8261168,3.7895508,1e-04,0.00358112,0.49
319,PrB6,24.22,23.67204,21.31091,25.518156,1.0732772,45.447063,0.98
320,PrC2,1.37,3.8583605,3.0867982,5.409869,0.59262013,22.555048,1.72
321,PrMn2Si2,6.5,6.291194,5.543029,6.478479,0.23863521,9.082426,0.49
322,Pt0.5Pd0.5,0.74,1.4933006,0.39527676,2.8650892,0.6300542,26.967346,9.8
323,Pt0.915Sn0.085,1.4,0.9879731,-0.13819695,3.3825257,0.89814353,32.163597,9.8
324,Pt0.91Al0.09,0.59,1.6445749,1.0741787,2.3731132,0.33136082,14.031207,9.8
325,Pt0.96Ge0.04,1.21,1.4130908,0.46339852,2.7871306,0.5927888,22.561468,9.8
326,Re0.25Pt0.75,0.85,1.3679177,0.9197729,3.6255639,0.6902528,29.543945,9.8
327,Re0.6W0.4B2,48.17,30.453505,27.86769,36.133602,2.1086512,70.71516,0.49
328,Re0.6W0.4B2,38.03,28.23391,25.180319,31.328213,1.5683403,52.595436,0.98
329,Re0.6W0.4B2,34.76,24.348225,22.543226,26.598171,1.0344248,34.69019,1.96
330,Re0.6W0.4B2,32.52,22.608284,21.6634,25.180637,0.8972542,30.090075,2.94
331,Re0.6W0.4B2,30.31,20.400894,20.086832,24.212385,1.052437,35.29424,4.9
332,Re0.9Si0.1,10.79,13.88251,9.925009,14.214979,1.0943801,36.700836,0.98
333,Re2Si,12.75,16.32331,13.460628,17.877861,1.1268452,40.35368,0.98
334,Re3B,16.57,14.937223,14.039546,18.85139,1.2275114,51.977985,0.98
335,Re7B3,16.18,18.39426,16.069221,23.70322,1.9474486,74.11965,0.98
336,ReB2,40.45,27.839478,24.590939,33.431904,2.2553482,75.63474,0.49
337,ReB2,35.08,26.279093,22.282625,29.383709,1.8115009,60.750004,0.98
338,ReB2,31.73,22.090193,19.686426,24.63721,1.2629553,42.354126,1.96
339,ReB2,30.3,20.607311,19.056438,23.36328,1.0986838,36.84516,2.93
340,ReB2,29.31,18.7717,17.739704,22.874035,1.3097782,43.924366,4.9
341,ReSi,17.16,11.936242,12.092801,19.959013,2.0066867,85.889465,0.98
342,ReSi2,22.56,12.357702,13.534191,18.15335,1.178357,39.51706,0.98
343,Rh0.5Pt0.5,0.71,0.7518818,-0.25589025,4.1869392,1.1333749,40.587517,9.8
344,Rh20Si13,11.08,8.119589,6.6309547,11.088325,1.1370841,48.148914,0.98
345,Rh2Si,2.06,12.108383,9.143857,12.880915,0.95333105,36.28366,0.98
346,Rh3Si2,9.22,10.866229,9.444746,12.236882,0.7122796,27.109274,0.98
347,Rh3Si4,10.2,11.299377,8.630873,14.343114,1.4572043,48.86841,0.98
348,Rh4Si5,11.38,10.892392,8.175074,12.618952,1.1336423,48.52174,0.98
349,Rh5Si3,10.79,7.1425996,6.5189767,10.996964,1.1423438,48.371628,0.98
350,Rh7B3,7.62,14.141011,9.85501,14.170323,1.1008452,41.898033,0.49
351,RhB1.1,11.89,19.133966,15.428698,22.944633,1.9173305,82.06487,0.49
352,RhSi,11.03,11.018169,7.1629624,9.047294,0.48069674,16.120516,0.98
353,Ru0.5Ir0.5Al,2.765,5.8663282,5.2561626,5.329965,0.01882716,0.6742232,1.96
354,Ru0.5Pt0.5,1.68,2.4808733,2.4749846,2.6325786,0.040202543,1.7023444,9.8
355,Ru0.5Rh0.5,4.81,8.400484,4.4819083,9.667099,1.3227527,50.343803,1.0
356,Ru2Ge3,10.79,6.301071,6.308757,8.986452,0.6830855,29.237175,0.98
357,Ru2Si3,15.2,12.926187,9.459302,16.233274,1.7280542,57.951557,0.2
358,RuB2,24.2,19.110195,16.523317,27.055613,2.68681,102.25965,0.25
359,RuB2,20.6,20.21869,17.034365,27.522593,2.6755683,101.831795,0.49
360,RuB2,16.74,18.476486,16.587395,26.776712,2.5993156,98.92963,0.98
361,RuB2,14.4,15.467487,14.7232485,24.404219,2.4696352,93.99401,1.96
362,Sc0.021Pt0.979,1.18,1.0868113,1.4014723,5.519144,1.0504265,37.61703,9.8
363,Sc0.05Y0.95B12,41.5078742,40.939457,38.476562,40.85932,0.6078467,21.76772,0.49
364,Sc0.05Y0.95B12,35.03897864,34.71218,33.968987,35.94063,0.50297076,18.011986,0.98
365,Sc0.05Y0.95B12,32.31957769,31.768581,30.816313,33.04193,0.56775975,20.332157,1.96
366,Sc0.05Y0.95B12,30.09461328,30.056204,29.374844,31.728445,0.6004085,21.501348,2.94
367,Sc0.05Y0.95B12,28.85852194,28.311909,28.421345,30.23523,0.4627257,16.570763,4.9
368,Sc0.05Zr0.95B12,41.513473,41.43181,39.5244,43.58068,1.0347658,44.289665,0.49
369,Sc0.05Zr0.95B12,35.91240375,35.24018,34.683582,36.70681,0.5161295,22.091185,0.98
370,Sc0.05Zr0.95B12,33.54446204,32.633186,31.270317,33.60317,0.5951151,25.471899,1.96
371,Sc0.05Zr0.95B12,31.24480269,30.975777,29.95657,31.806149,0.47183132,20.19515,2.94
372,Sc0.05Zr0.95B12,28.85409231,29.061918,28.762348,30.198792,0.3664396,15.684214,4.9
373,Sc0.25Y0.75B12,42.66650803,41.17299,37.950577,42.998158,1.2876481,49.007725,0.49
374,Sc0.25Y0.75B12,35.84738659,35.03927,33.829678,37.298195,0.8848258,33.67636,0.98
375,Sc0.25Y0.75B12,33.56061761,32.14867,30.550154,33.78885,0.82619774,31.444983,1.96
376,Sc0.25Y0.75B12,30.9648258,30.564001,29.32127,32.02016,0.68849254,26.20394,2.94
377,Sc0.25Y0.75B12,29.97595272,28.899498,28.319025,30.298857,0.5050591,19.222486,4.9
378,Sc0.25Zr0.75B12,43.69269246,42.75556,39.1308,43.206367,1.039686,37.232403,0.49
379,Sc0.25Zr0.75B12,36.88488368,36.388733,34.37365,37.500957,0.7977826,28.569551,0.98
380,Sc0.25Zr0.75B12,34.26651024,33.84008,31.198576,34.64292,0.87865955,31.465853,1.96
381,Sc0.25Zr0.75B12,32.14900026,32.19303,29.766861,32.975254,0.8184676,29.310307,2.94
382,Sc0.25Zr0.75B12,30.44134999,30.249039,28.761232,31.191477,0.6199603,22.201523,4.9
383,Sc0.5Y0.5B12,45.14486766,42.34696,38.032864,43.510506,1.3973576,53.183254,0.49
384,Sc0.5Y0.5B12,37.52230439,36.15553,33.893764,37.83466,1.0053303,38.26275,0.98
385,Sc0.5Y0.5B12,35.79175897,33.470806,30.614239,34.351254,0.9533201,36.283245,1.96
386,Sc0.5Y0.5B12,32.8251573,31.886139,29.385355,32.572147,0.8129572,30.941051,2.94
387,Sc0.5Y0.5B12,31.19763704,30.064789,28.38311,30.843033,0.6275313,23.883762,4.9
388,Sc0.5Zr0.5B12,47.96499819,44.799496,39.52051,45.41184,1.5028895,63.63865,0.49
389,Sc0.5Zr0.5B12,39.63166486,38.03108,34.617123,38.181625,0.9093119,38.50408,0.98
390,Sc0.5Zr0.5B12,37.17264847,35.323368,31.27964,35.24788,1.0123059,42.865276,1.96
391,Sc0.5Zr0.5B12,34.07613295,33.46005,29.992025,33.350758,0.85681945,36.28133,2.94
392,Sc0.5Zr0.5B12,32.04972129,31.63795,28.826069,31.620907,0.7129688,30.190092,4.9
393,Sc0.8Y0.2B12,44.36941513,42.852684,38.644897,44.469055,1.4857545,63.592716,0.49
394,Sc0.8Y0.2B12,36.06700163,36.57829,34.105305,38.156376,1.0334365,44.23277,0.98
395,Sc0.8Y0.2B12,35.03692551,33.853714,30.73282,35.33573,1.174212,50.25819,1.96
396,Sc0.8Y0.2B12,32.00851927,31.890385,29.55459,33.375996,0.9748483,41.725098,2.94
397,Sc0.8Y0.2B12,30.54579364,30.189981,28.494516,31.642784,0.8031295,34.37525,4.9
398,Sc0.8Zr0.2B12,45.95154316,44.2717,39.131344,44.47284,1.3626264,48.797287,0.49
399,Sc0.8Zr0.2B12,38.43785832,37.458416,34.388996,38.308037,0.99975526,35.802433,0.98
400,Sc0.8Zr0.2B12,36.32037198,34.532906,31.197975,35.02391,0.9760039,34.95187,1.96
401,Sc0.8Zr0.2B12,33.47428819,32.995647,29.772438,33.192383,0.87243485,31.242939,2.94
402,Sc0.8Zr0.2B12,31.31126451,31.035507,28.816713,31.64973,0.72270846,25.881056,4.9
403,Sc2C3,5.83,5.625057,5.834352,9.524177,0.94128174,39.85782,1.72
404,Sc2ReB6,34.7401001,35.378098,33.003685,36.724,0.94905967,40.18717,0.49
405,Sc2ReB6,31.83707398,30.974247,29.157068,31.746021,0.6604472,27.966105,0.98
406,Sc2ReB6,24.10401302,25.909498,25.401535,27.982105,0.65830874,27.875555,1.96
407,Sc2ReB6,22.70255213,23.78229,24.225994,26.291592,0.52693814,22.312773,2.94
408,Sc2ReB6,20.92569993,21.74956,22.679903,24.83051,0.548624,23.231041,4.9
409,Sc3Al3C2O5,9.0,9.28286,9.517124,13.408072,0.9925888,37.777805,2.0
410,Sc5Si3,7.6,4.1564784,3.1958086,5.703537,0.6397266,27.381342,1.96
411,ScB12,41.67556428,44.588905,38.03247,44.05028,1.5351558,58.427837,0.49
412,ScB12,35.18608474,37.941715,34.08141,38.48271,1.1227812,42.73291,0.98
413,ScB12,33.94997585,35.204205,30.85075,35.20212,1.1100438,42.248127,1.96
414,ScB12,30.32412547,33.537994,29.619228,33.56262,1.0059668,38.286972,2.94
415,ScB12,28.44938694,31.642584,28.653442,31.83818,0.8124332,30.921106,4.9
416,ScB2,17.46,23.270607,18.178925,24.700119,1.6635699,55.78903,1.96
417,ScNi3B,4.6,5.657536,5.3908873,7.617321,0.5679678,20.339607,2.942
418,ScRh3B,9.75,4.51751,5.0533547,6.868092,0.4629432,19.602957,2.942
419,ScRh3B0.5C0.5,7.4,9.109434,6.1852117,9.312066,0.7976669,30.359102,2.942
420,ScRh3C,9.9,5.6246934,5.731938,10.578172,1.2362841,52.914978,2.94
421,ScRu2,5.88,5.4727335,4.8844132,8.77608,0.99277216,33.29334,0.98
422,ScSi,4.2,4.404433,3.614044,6.676154,0.7811505,33.434517,1.96
423,ScSi1.67,8.2,7.9795337,4.9856095,9.494427,1.1502085,48.704655,0.98
424,Si,11.27,12.049657,12.493165,20.575897,2.0619214,88.2536,0.49
425,Si2N2O,19.0,19.35421,16.464558,26.616552,2.5897946,92.74365,0.98
426,Si3N4,20.0,27.032618,24.894232,31.295359,1.6329405,54.76185,0.98
427,SiC,22.9,26.853214,16.348536,28.103872,2.9988103,107.39099,2.0
428,SiO2,11.0,19.600546,12.86095,19.679209,1.7393515,73.65144,0.98
429,Sm2O3,4.71,6.808901,4.9162774,8.630023,0.94738406,36.05732,0.98
430,SmB6,24.52,24.216206,20.576708,25.53333,1.2644446,54.120293,0.98
431,SmC2,6.37,3.4671197,4.1489415,6.0203075,0.47738928,16.009598,1.72
432,SmMn2Si2,6.5,6.7656384,5.7452407,7.665577,0.4898817,17.543251,0.49
433,SmPd2Ge,5.51,5.0510063,4.699428,5.7686906,0.27277103,11.55027,0.98
434,Sr2Cu2GdRuO8,2.8,7.753232,6.761065,9.61143,0.7271339,27.674627,20.0
435,SrB6,28.54,25.522066,22.383478,29.396465,1.7890273,76.57329,0.29
436,SrVO3,3.85,6.8413377,5.3588076,9.448967,1.043408,34.991447,9.8
437,Ta0.01W0.99B,35.0,36.513336,30.414684,36.67527,1.5970882,68.35798,0.49
438,Ta0.01W0.99B,29.0,30.08791,26.893274,31.472277,1.1681129,49.99714,0.98
439,Ta0.01W0.99B,18.5,20.020819,19.759233,24.258778,1.1478429,49.129547,4.9
440,Ta0.03W0.97B4,52.02308473,48.250206,41.876328,49.232857,1.8766656,62.93535,0.49
441,Ta0.03W0.97B4,44.69812278,40.68521,37.054077,41.70317,1.1859932,39.773148,0.98
442,Ta0.03W0.97B4,37.94393709,36.32687,33.48139,36.277763,0.7133601,23.92305,1.96
443,Ta0.03W0.97B4,34.26560122,34.077286,31.78388,33.93508,0.5487758,18.403597,2.94
444,Ta0.03W0.97B4,31.82394723,31.47106,30.080832,32.011013,0.49239323,16.512766,4.9
445,Ta0.04W0.96B4,48.28132927,50.22073,41.885586,50.768463,2.26604,96.99021,0.49
446,Ta0.04W0.96B4,41.24175545,43.090652,36.898277,42.839184,1.5155374,64.86747,0.98
447,Ta0.04W0.96B4,36.39015728,37.685474,33.232307,37.677673,1.1340219,48.537987,1.96
448,Ta0.04W0.96B4,33.50456621,35.02285,31.869843,35.458862,0.91556627,39.18773,2.94
449,Ta0.04W0.96B4,31.22146119,32.842884,30.276484,33.671917,0.86618197,37.074,4.9
450,Ta0.09Pt0.91,1.02,1.7450426,0.8571044,5.152509,1.0957665,39.240715,9.8
451,Ta0.1W0.9B,36.5,35.331173,29.332754,34.8653,1.4113635,47.331104,0.49
452,Ta0.1W0.9B,30.5,29.303288,26.362404,30.552301,1.0688514,35.844707,0.98
453,Ta0.1W0.9B,20.0,19.07287,19.83049,22.799332,0.75735754,25.398537,4.9
454,Ta0.1W0.9B4,44.12734652,49.13592,41.707005,50.6162,2.2727537,81.39004,0.49
455,Ta0.1W0.9B4,39.90994419,41.21311,37.003002,43.492325,1.6554394,59.283268,0.98
456,Ta0.1W0.9B4,35.40715373,37.284298,33.51271,38.35184,1.234472,44.207924,1.96
457,Ta0.1W0.9B4,33.02891933,34.906914,31.976114,35.857327,0.99010515,35.456852,2.94
458,Ta0.1W0.9B4,30.90436327,32.68479,30.612923,34.047802,0.8762447,31.379374,4.9
459,Ta0.25W0.75B,38.0,37.60749,30.25668,36.699776,1.643647,62.557,0.49
460,Ta0.25W0.75B,28.5,30.597126,26.925903,32.645466,1.459072,55.532097,0.98
461,Ta0.25W0.75B,21.0,20.483046,20.081766,23.65873,0.91249067,34.729282,4.9
462,Ta0.3W0.7B4,42.6369863,44.46617,40.78623,46.24982,1.3937736,46.74121,0.49
463,Ta0.3W0.7B4,36.92922374,36.802467,35.87087,39.007507,0.8001629,26.834045,0.98
464,Ta0.3W0.7B4,32.96549975,33.353374,32.34568,34.417023,0.5284037,17.720404,1.96
465,Ta0.3W0.7B4,30.87265348,31.536066,30.746752,32.380405,0.41674837,13.975961,2.94
466,Ta0.3W0.7B4,29.38229325,29.56976,29.241917,30.55343,0.33456987,11.220044,4.9
467,Ta0.5Nb0.5Cr2,10.44,6.391285,4.3021584,9.630865,1.3593639,57.561172,1.96
468,Ta0.5W0.5B4,40.86123795,43.3858,40.561005,46.832542,1.599882,68.47756,0.49
469,Ta0.5W0.5B4,33.78995434,36.652954,35.635014,39.679478,1.031751,44.16063,0.98
470,Ta0.5W0.5B4,31.91907661,33.062206,31.979927,35.412846,0.8757445,37.483295,1.96
471,Ta0.5W0.5B4,31.09462202,30.839193,30.613,33.442497,0.7218103,30.894657,2.94
472,Ta0.5W0.5B4,30.30187722,28.806932,29.142208,31.836273,0.68726146,29.415913,4.9
473,Ta3B2,27.16,20.897352,14.613774,27.515715,3.2913113,125.2669,0.49
474,Ta3B4,32.85,36.939327,29.915813,36.69277,1.728815,73.9961,0.49
475,TaB,30.69,33.2157,25.883652,31.250729,1.3691522,45.915516,0.49
476,TaB2,24.52,36.368908,32.982216,40.355778,1.8810107,67.361244,0.29
477,TaC,23.58,20.51027,14.268634,21.345852,1.8054128,76.44875,0.98
478,TaCr2,2.98,10.382684,5.497835,8.199078,0.68909246,26.226772,1.96
479,TaN,22.0,24.84992,16.980488,23.298183,1.611657,68.98155,0.1
480,TbB6,22.56,23.887201,22.378109,24.9026,0.6440026,21.597097,0.98
481,TbMn2Si2,5.5,6.44237,5.6078477,7.231508,0.414199,13.890465,0.49
482,TbPd2Ge,7.45,4.6517344,4.408757,5.363225,0.24348667,10.310247,0.98
483,ThB6,17.06,28.404184,28.571568,33.880432,1.3543022,48.499184,0.19
484,ThB66,22.65,29.921284,30.336864,35.779266,1.3883678,46.559925,0.98
485,ThC,5.88,6.7849574,4.2149773,8.521777,1.0986735,41.815376,1.96
486,ThC2,5.88,8.940556,5.692345,14.144279,2.1561053,92.28483,1.96
487,ThCo3Al2,5.6,6.3654346,4.882992,7.3107905,0.6193364,20.769897,0.98
488,ThFe3Al2,5.75,4.841961,4.8998275,7.296018,0.6112731,21.890423,0.98
489,ThMn3Al2,5.51,5.9051857,4.9941897,9.141902,1.0580899,44.803963,0.98
490,ThPt5,3.85,5.542104,3.2223349,6.534921,0.84504753,32.162403,0.98
491,ThRe2,6.28,6.8068023,6.600509,12.75096,1.5689926,67.15544,0.98
492,Ti0.08W0.92B4,51.00800966,45.95837,40.790173,48.522835,1.9726179,83.528915,0.49
493,Ti0.08W0.92B4,39.88907019,38.726006,35.798786,41.300785,1.4035711,59.43309,0.98
494,Ti0.08W0.92B4,36.18272501,34.791138,32.357582,36.53676,1.0661163,45.14384,1.96
495,Ti0.08W0.92B4,34.42381695,32.82134,31.093279,34.450047,0.85631824,36.26011,2.94
496,Ti0.08W0.92B4,32.50781335,30.699095,29.635775,32.67767,0.7759936,32.858826,4.9
497,Ti0.1W0.9B4,44.41352722,48.969593,41.236435,49.961987,2.225906,84.717705,0.49
498,Ti0.1W0.9B4,37.28359442,40.03951,36.654213,42.313663,1.4437374,54.948463,0.98
499,Ti0.1W0.9B4,34.01698226,35.943634,32.991932,37.280033,1.0939033,41.633823,1.96
500,Ti0.1W0.9B4,32.2894837,33.864624,31.7393,35.320503,0.9135723,34.770447,2.94
501,Ti0.1W0.9B4,30.12220409,31.854252,30.460602,33.530205,0.783062,29.803242,4.9
502,Ti0.25B3.5C0.75,39.55,28.324379,28.31945,31.37871,0.7804233,26.172064,4.9
503,Ti0.3W0.7B4,38.24093585,43.976875,39.85471,46.98227,1.818255,60.976505,0.49
504,Ti0.3W0.7B4,34.40897668,37.108982,34.883575,40.08465,1.3268043,44.49535,0.98
505,Ti0.3W0.7B4,32.4615876,33.608963,31.45354,35.913383,1.137715,38.154102,1.96
506,Ti0.3W0.7B4,30.73404101,31.50329,29.818598,33.75765,1.0048598,33.698704,2.94
507,Ti0.3W0.7B4,29.54050397,29.699492,28.323988,31.7344,0.870003,29.176184,4.9
508,Ti0.5Nb0.5,1.47,10.300069,5.174503,13.773712,2.1936758,78.55816,0.049
509,Ti0.5Nb0.5N,15.5,18.658047,13.983924,20.976929,1.7839297,75.53907,0.98
510,Ti0.75Pt0.25,1.46,4.9288154,1.9483091,7.171139,1.3323545,50.709248,9.8
511,Ti0.815Sn0.185,2.06,2.8603952,2.788026,4.9458776,0.5504723,23.561113,2.94
512,Ti0.89Al0.11,2.04,3.3570414,2.7063634,5.444408,0.6984807,23.42406,0.98
513,Ti0.89V0.11,1.92,3.4593058,1.8956941,4.638227,0.6996257,25.054434,2.94
514,Ti0.9Si0.1,3.01,1.5161356,2.0749216,4.1278086,0.52369565,22.175472,2.94
515,Ti3Al,2.98,5.1812387,3.4810383,7.7545104,1.0901713,41.491787,0.98
516,Ti3GeC2,2.2,2.798935,4.425244,13.201675,2.2388856,95.82796,9.8
517,Ti3SiC2,3.0,6.151447,5.6874633,12.90352,1.8408307,61.733597,9.8
518,Ti5Ge3,9.51,7.1080256,5.9476,8.303066,0.60088426,21.518385,0.98
519,TiB,27.46,23.319635,22.45191,26.095865,0.9295804,39.362335,0.29
520,TiB2,33.05,28.557003,24.262558,32.18084,2.0199697,86.458,0.29
521,TiB2,33.0,20.683947,19.798103,24.002237,1.0724832,45.90403,4.9
522,TiB2,26.0,20.671423,19.798103,24.002237,1.0724832,45.90403,9.8
523,TiB50,35.7,34.463356,36.541565,43.654404,1.8144996,69.05963,0.49
524,TiC,26.0,16.721684,12.6278515,21.067936,2.1530826,91.170555,0.98
525,TiGe2,3.01,7.7671576,6.4726195,9.111314,0.6731363,24.105818,0.98
526,TiMn2,5.82,5.86621,5.1528697,7.6631193,0.6403698,21.475267,0.98
527,TiN,18.0,11.44245,13.768218,15.356175,0.40509117,17.338564,0.98
528,TiRu,7.85,7.3237658,5.235301,8.8859825,0.9312963,39.434994,0.59
529,TiRu0.4Ni0.6,7.26,6.0904875,5.4310923,9.466289,1.0293868,39.178333,0.59
530,TmB12,37.27,34.159874,34.999474,35.769814,0.19651529,8.411175,0.49
531,UCo5,5.88,5.610917,4.8694887,8.896285,1.027244,34.449375,0.49
532,UV2Al20,3.14,8.133389,5.877566,9.753769,0.9888273,35.41109,0.49
533,V0.25Pt0.75,1.95,3.6503503,2.4655986,4.9161944,0.625152,26.47156,9.8
534,V0.25Re0.75,19.91,19.690174,10.363821,20.131868,2.4918487,94.839455,0.98
535,V0.8Re0.2,5.1,12.84987,6.8620753,14.630315,1.9816937,84.819725,0.98
536,V1.16Re2.84,21.2,18.012407,8.74842,17.807602,2.3110158,77.5016,0.98
537,V11Ge8,5.2,8.351674,7.380279,12.062937,1.1945555,42.778465,0.98
538,V17Ge31,7.81,7.4188066,7.306491,9.832313,0.64434224,23.074669,0.98
539,V3B2,22.36,24.687862,19.715149,22.896639,0.81160456,34.36674,0.49
540,V3B4,23.05,30.494305,25.26744,30.916632,1.4411201,61.682293,0.49
541,V3Ga,9.02,6.32295,5.2212,8.474016,0.8298,27.827948,0.98
542,V3Ge,7.9,8.612507,7.0837975,12.126251,1.2863402,46.065388,0.98
543,V3Si,8.9,8.301298,7.152577,11.5182705,1.1136973,47.158615,0.49
544,V5Ge3,7.0,8.861456,6.3226457,11.12202,1.2243301,46.59785,0.98
545,V6Ga5,9.81,7.005794,5.0740194,8.561459,0.88965285,38.078594,0.98
546,VB2,27.46,26.72493,25.579407,33.45723,2.0096486,67.39503,0.29
547,VB50,35.4,39.27207,36.450382,42.15562,1.4554179,52.12026,0.49
548,VC,23.1,31.996162,21.985312,29.715939,1.9720987,83.506935,0.49
549,VO0.33,9.81,10.069783,7.25689,11.040535,0.96521556,36.735985,0.98
550,W0.35Os0.65,7.72667,13.473583,8.298204,12.479789,1.0667307,45.657818,0.98
551,W0.5Dy0.5B11.6,25.24878049,25.15179,25.494612,27.519094,0.5164497,19.656012,4.9
552,W0.5Dy0.5B11.6,37.67804878,36.869457,36.135067,40.913143,1.218897,46.391068,0.49
553,W0.5Dy0.5B11.6,31.32682927,31.335907,31.286285,34.302837,0.76952857,29.288162,0.98
554,W0.5Dy0.5B11.6,28.76585366,28.566,28.00006,30.60575,0.66471684,25.29904,1.96
555,W0.5Dy0.5B11.6,28.42439024,26.877771,26.786098,29.076103,0.5841849,22.234003,2.94
556,W0.5Er0.5B11.6,25.86336867,26.343046,27.545467,28.718782,0.29931507,12.674256,4.9
557,W0.5Er0.5B11.6,37.48881037,38.09782,38.131733,42.754673,1.1793214,49.937416,0.49
558,W0.5Er0.5B11.6,32.23949745,32.43379,33.562878,35.372368,0.46160462,19.546276,0.98
559,W0.5Er0.5B11.6,28.74911661,29.571796,30.316782,31.841558,0.3889736,16.470774,1.96
560,W0.5Er0.5B11.6,27.40243424,28.140337,29.07689,30.06242,0.25141045,10.645774,2.94
561,W0.5Gd0.5B11.6,25.62101129,26.970346,27.608618,29.552372,0.49585566,20.996609,4.9
562,W0.5Gd0.5B11.6,35.03436426,38.51672,38.503593,43.26583,1.2148565,51.442123,0.49
563,W0.5Gd0.5B11.6,29.06725577,33.129,33.80348,36.01237,0.5634931,23.86066,0.98
564,W0.5Gd0.5B11.6,28.5886107,30.30605,30.413218,32.94419,0.64565647,27.339804,1.96
565,W0.5Gd0.5B11.6,27.02503682,28.750837,29.13997,31.109564,0.5024472,21.275723,2.94
566,W0.5Ho0.5B11.6,27.02666667,25.466057,25.995426,28.143599,0.54800314,20.856932,4.9
567,W0.5Ho0.5B11.6,36.82666667,37.128777,36.445354,41.223736,1.2189748,46.39403,0.49
568,W0.5Ho0.5B11.6,33.42666667,31.625902,31.673244,34.640045,0.7568369,28.805119,0.98
569,W0.5Ho0.5B11.6,28.99333333,28.855988,28.509987,31.266985,0.7033158,26.768112,1.96
570,W0.5Ho0.5B11.6,28.09333333,27.167759,27.285126,29.813107,0.64489305,24.54455,2.94
571,W0.5Nb0.5B2.1,36.21106122,32.924767,32.245487,36.370087,1.0521938,45.03561,0.49
572,W0.5Nb0.5B2.1,32.2766464,29.743153,29.091002,31.995707,0.7409962,31.715845,0.98
573,W0.5Nb0.5B2.1,30.21467078,26.435228,25.748043,28.138353,0.60977304,26.099281,1.96
574,W0.5Nb0.5B2.1,27.22830188,24.48233,24.802544,26.897364,0.53439283,22.872885,2.94
575,W0.5Nb0.5B2.1,26.06696989,22.48421,23.333214,25.563414,0.56892854,24.35107,4.9
576,W0.5Pt0.5,0.85,3.0121503,3.3476274,7.919158,1.1662067,44.38568,9.8
577,W0.5Sc0.5B11.6,42.67955647,41.199368,39.223118,42.499104,0.83571064,35.76978,0.49
578,W0.5Sc0.5B11.6,34.73389654,34.450165,34.297695,35.90249,0.4093861,17.522392,0.98
579,W0.5Sc0.5B11.6,32.29983875,31.472143,30.822067,32.275364,0.37073892,15.868231,1.96
580,W0.5Sc0.5B11.6,30.70508709,29.853828,29.505222,30.242197,0.18800375,8.046867,2.94
581,W0.5Sc0.5B11.6,28.15914273,27.944529,28.13993,28.549326,0.10443755,4.4700975,4.9
582,W0.5Ta0.5B,42.8,37.437454,30.536072,36.14536,1.4309406,60.59203,0.49
583,W0.5Ta0.5B,34.0,30.86781,27.074677,30.354435,0.8366731,35.42825,0.98
584,W0.5Ta0.5B,21.0,21.823547,20.653515,22.639225,0.5065587,21.449821,4.9
585,W0.5Ta0.5B2.1,32.21626605,35.119473,34.197956,40.14257,1.5164832,57.717163,0.49
586,W0.5Ta0.5B2.1,28.5809234,30.841612,30.848333,35.03096,1.0669966,40.609756,0.98
587,W0.5Ta0.5B2.1,27.90509903,27.666834,27.41372,30.906431,0.89099795,33.91127,1.96
